@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 48\nSize of the tree: 72\n','Number of leaves: 53\nSize of the tree: 80\n','Number of leaves: 58\nSize of the tree: 86\n','Number of leaves: 57\nSize of the tree: 87\n','Number of leaves: 63\nSize of the tree: 91\n','Number of leaves: 54\nSize of the tree: 80\n','Number of leaves: 60\nSize of the tree: 89\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

soybean,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,451,232,206,26,0,88.793103,11.206897,0,0.876576,0.015384,0.094788,15.997291,43.257633,890.728908,8668.197122,-7777.468213,3.839349,37.362919,-33.52357,790.694351,3.408165,20449.377943,1,6,0,0,1,226,0,0,1,1,1,1,1,1,0.887931,0.01493,0.98507,0.112069,0.895797,0.887931,0.879472,0.874199,0.976032,0.900832,0.87432,0.887931,0.016,0.002,0.015035,0.002056,15.035,2.056,57180,150569,81146,95.689655,9.029038,'Number of leaves: 60\nSize of the tree: 89\n',89,60,60
vote,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,143,5,0,96.621622,3.378378,0,0.928901,0.062534,0.168331,13.188193,34.591042,142.317665,24.231625,118.086041,0.961606,0.163727,0.797879,125.541728,0.848255,13033.873973,0.967033,88,0.035088,2,0.964912,55,0.032967,3,0.977778,0.967033,0.972376,0.928995,0.988625,0.986478,0.966216,0.034271,0.965729,0.033784,0.966416,0.966216,0.96627,0.928995,0.988625,0.985683,0.964449,0.966216,0.002,0,0.001302,0.000235,1.302,0.235,6583,50792,27857,99.324324,55.067568,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
vote,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,138,10,0,93.243243,6.756757,0,0.859182,0.092858,0.2527,19.583453,51.928204,142.317665,59.622808,82.694858,0.961606,0.402857,0.558749,115.716886,0.781871,12013.848547,0.923077,84,0.052632,3,0.947368,54,0.076923,7,0.965517,0.923077,0.94382,0.860548,0.94438,0.963053,0.932432,0.061987,0.938013,0.067568,0.934602,0.932432,0.932818,0.860548,0.94438,0.931254,0.929537,0.932432,0.002,0,0.001282,0.000414,1.282,0.414,6947,50792,27857,94.594595,54.054054,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
vote,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,140,8,0,94.594595,5.405405,0,0.884352,0.05758,0.197271,12.143425,40.537863,142.317665,3235.969401,-3093.651736,0.961606,21.864658,-20.903052,125.408822,0.847357,13020.075522,0.978022,89,0.105263,6,0.894737,51,0.021978,2,0.936842,0.978022,0.956989,0.885835,0.966937,0.963377,0.945946,0.073187,0.926813,0.054054,0.946633,0.945946,0.945544,0.885835,0.966937,0.957579,0.942131,0.945946,0.001,0,0.000742,0.000256,0.742,0.256,7675,50792,27857,97.297297,52.702703,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
vote,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,288,147,138,9,0,93.877551,6.122449,0,0.869796,0.082509,0.226141,17.390245,46.412564,141.611397,43.016469,98.594928,0.963343,0.292629,0.670714,118.37283,0.805257,12300.928983,0.966667,87,0.105263,6,0.894737,51,0.033333,3,0.935484,0.966667,0.95082,0.870617,0.97924,0.980667,0.938776,0.077372,0.922628,0.061224,0.938958,0.938776,0.93845,0.870617,0.97924,0.971958,0.934869,0.938776,0.001,0.001,0.001133,0.000268,1.133,0.268,6583,50957,27692,95.918367,54.761905,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
vote,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,140,8,0,94.594595,5.405405,0,0.887345,0.07696,0.213568,16.230692,43.886888,142.317665,38.046478,104.271187,0.961606,0.257071,0.704535,120.789952,0.816148,12540.539659,0.934066,85,0.035088,2,0.964912,55,0.065934,6,0.977011,0.934066,0.955056,0.888756,0.96337,0.970023,0.945946,0.046968,0.953032,0.054054,0.947983,0.945946,0.946255,0.888756,0.96337,0.946203,0.94363,0.945946,0.002,0,0.001458,0.000364,1.458,0.364,6583,50792,27857,96.621622,54.054054,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
vote,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,139,9,0,93.918919,6.081081,0,0.869463,0.078603,0.227817,16.577057,46.814955,142.317665,45.166317,97.151348,0.961606,0.305178,0.656428,119.585303,0.808009,12415.471698,0.978022,89,0.122807,7,0.877193,50,0.021978,2,0.927083,0.978022,0.951872,0.871758,0.947176,0.960391,0.939189,0.083974,0.916026,0.060811,0.940353,0.939189,0.938607,0.871758,0.947176,0.954239,0.934651,0.939189,0.001,0,0.001224,0.000418,1.224,0.418,6947,50792,27857,97.297297,53.716216,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
vote,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,141,7,0,95.27027,4.72973,0,0.900461,0.075169,0.212756,15.852903,43.719947,142.317665,37.195158,105.122508,0.961606,0.251319,0.710287,121.115708,0.818349,12574.359915,0.956044,87,0.052632,3,0.947368,54,0.043956,4,0.966667,0.956044,0.961326,0.900552,0.978311,0.980331,0.952703,0.04929,0.95071,0.047297,0.952943,0.952703,0.952778,0.900552,0.978311,0.971541,0.950228,0.952703,0.002,0,0.001445,0.00042,1.445,0.42,6947,50792,27857,97.972973,54.72973,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
vote,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,143,5,0,96.621622,3.378378,0,0.928433,0.067075,0.169549,14.145812,34.841165,142.317665,23.998283,118.319383,0.961606,0.162151,0.799455,124.291544,0.839808,12904.078585,0.978022,89,0.052632,3,0.947368,54,0.021978,2,0.967391,0.978022,0.972678,0.928528,0.987179,0.985451,0.966216,0.040826,0.959174,0.033784,0.966195,0.966216,0.966159,0.928528,0.987179,0.984144,0.964215,0.966216,0.002,0,0.001667,0.000386,1.667,0.386,6219,50792,27857,99.324324,55.743243,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
vote,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,287,148,142,6,0,95.945946,4.054054,0,0.913837,0.058576,0.194185,12.35354,39.903786,142.317665,38.784874,103.532792,0.961606,0.26206,0.699546,125.929894,0.850878,13074.173797,0.978022,89,0.070175,4,0.929825,53,0.021978,2,0.956989,0.978022,0.967391,0.914214,0.952863,0.954257,0.959459,0.051613,0.948387,0.040541,0.959549,0.959459,0.959318,0.914214,0.959137,0.948555,0.95691,0.959459,0.002,0,0.001352,0.000391,1.352,0.391,6947,50792,27857,96.621622,53.040541,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
